cms_txn_sk,sales_cust_id,sales_tran_id,sales_order_id,sales_item_quantity,sales_order_dt,cms_store_sk,sales_store_id,sales_store_name,sales_channel,sales_region_name,cms_product_sk,sales_product_id,sales_product_name,sales_product_desc,sales_prd_style_id,sales_prd_style_name,sales_prd_style_desc,sales_prd_color_id,sales_prd_color_shade_name,sales_prd_size_id,sales_prd_size_name,sales_prd_fit,sales_prd_category_id,sales_prd_category_name,sales_prd_brand_id,sales_prd_brand_name,sales_csat,sales_sell_price,sales_discount_amt,promoter,detractor,passive,sales_launch_date,premium_prd,ship_mode,payment_preference,insert_dt,last_modified_dt,insert_by,last_modified_by,job_id,batch_id
1817,HK-14890,txn1811,CA-2017-165484,9,2020-06-06,244,Store_027,Store027,Online,Central,1059,OFF-PA-10000595,Xerox 1929,null,4,Party,null,4,Dark,2,Small,Regular,CAT002,Office Supplies,null,Godsub,10,54.816,0.981363497,1,0,0,2019-12-15,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1818,FO-14305,txn1812,CA-2015-132612,6,2020-06-06,71,Store_245,Store245,Delivery,South,369,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,null,4,Formal,null,2,Bright,3,Medium,Relaxed,CAT001,Furniture,null,Bounce,3,1441.3,184.1802495,0,1,0,2020-04-25,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1819,BT-11680,txn1813,US-2018-161193,9,2020-06-06,89,Store_056,Store056,Delivery,East,197,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",null,2,Casual,null,3,Bright,1,Medium,Regular,CAT001,Furniture,null,Bounce,9,77.6,18.3534507,1,0,0,2019-10-05,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1820,BT-11680,txn1814,US-2018-161193,6,2020-06-06,89,Store_056,Store056,Delivery,East,143,FUR-FU-10000206,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",null,2,Casual,null,3,Other,2,Small,Relaxed,CAT001,Furniture,null,Fostor,10,4.656,0.572541633,1,0,0,2019-10-05,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1821,SP-20620,txn1815,CA-2016-131597,4,2020-06-06,211,Store_063,Store063,Online,West,344,FUR-TA-10002607,KI Conference Tables,null,2,Formal,null,3,Dark,2,Large,Regular,CAT001,Furniture,null,Trust Nom,5,170.136,19.6742568,0,1,0,2019-10-05,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1822,LL-16840,txn1816,CA-2016-164833,7,2020-06-06,209,Store_060,Store060,Delivery,West,950,OFF-LA-10000443,Avery 501,null,1,Casual,null,4,Dark,2,Extra Large,Regular,CAT002,Office Supplies,null,Fostor,8,7.38,0.424980106,0,0,1,2019-10-12,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1823,LL-16840,txn1817,CA-2016-164833,1,2020-06-06,209,Store_060,Store060,Delivery,West,624,OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",null,4,Party,null,5,Bright,2,Large,Slim,CAT002,Office Supplies,null,Bounce,10,9.26,1.51922491,1,0,0,2019-11-24,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1824,MC-17575,txn1818,CA-2016-125423,10,2020-06-06,358,Store_002,Store002,Delivery,West,966,OFF-LA-10001771,Avery 513,null,4,Party,null,3,Other,3,Small,Regular,CAT002,Office Supplies,null,Lifestyle,7,9.96,2.052298118,0,0,1,2020-03-07,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1825,JL-15235,txn1819,US-2015-130379,2,2020-06-06,26,Store_037,Store037,Delivery,Central,406,OFF-AP-10001394,Harmony Air Purifier,null,1,Formal,null,4,Dark,2,Large,Regular,CAT002,Office Supplies,null,Bounce,9,75.6,14.86990419,1,0,0,2019-11-16,Y,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1826,JL-15235,txn1820,US-2015-130379,8,2020-06-06,26,Store_037,Store037,Delivery,Central,229,FUR-FU-10002553,"Electrix Incandescent Magnifying Lamp, Black",null,3,Party,null,5,Other,1,Extra Large,Regular,CAT001,Furniture,null,Aerospace,10,29.32,1.132988241,1,0,0,2019-12-15,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1827,EA-14035,txn1821,CA-2017-168956,7,2020-06-06,26,Store_037,Store037,Online,Central,460,OFF-AP-10004233,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,null,2,Party,null,1,Light,3,Extra Large,Tapered,CAT002,Office Supplies,null,Bounce,10,92.064,22.52457849,1,0,0,2019-10-12,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1828,EA-14035,txn1822,CA-2017-168956,1,2020-06-06,26,Store_037,Store037,Online,Central,902,OFF-FA-10000304,Advantus Push Pins,null,1,Party,null,4,Other,3,Small,Regular,CAT002,Office Supplies,null,Trust Nom,6,6.976,1.52742678,0,1,0,2019-12-14,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1829,EA-14035,txn1823,CA-2017-168956,10,2020-06-06,26,Store_037,Store037,Online,Central,129,FUR-CH-10004754,"Global Stack Chair with Arms, Black",null,1,Casual,null,4,Dark,3,Large,Tapered,CAT001,Furniture,null,Redash,9,62.958,5.05830692,1,0,0,2019-11-15,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1830,EA-14035,txn1824,CA-2017-168956,8,2020-06-06,26,Store_037,Store037,Online,Central,1073,OFF-PA-10000809,Xerox 206,null,1,Formal,null,4,Other,2,Extra Large,Regular,CAT002,Office Supplies,null,Lifestyle,8,5.184,0.25926901,0,0,1,2019-11-22,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1831,SA-20830,txn1825,CA-2017-167507,2,2020-06-06,104,Store_313,Store313,Delivery,West,784,OFF-BI-10003694,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",null,3,Formal,null,5,Dark,3,Medium,Tapered,CAT002,Office Supplies,null,Renow,9,31.32,0.374929532,1,0,0,2019-11-24,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1832,SA-20830,txn1826,CA-2017-167507,8,2020-06-06,104,Store_313,Store313,Delivery,West,203,FUR-FU-10001935,3M Hangers With Command Adhesive,null,3,Formal,null,2,Light,2,Xtra Small,Slim,CAT001,Furniture,null,Canany,10,11.84,2.61884554,1,0,0,2019-12-01,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1833,SA-20830,txn1827,CA-2017-167507,7,2020-06-06,104,Store_313,Store313,Delivery,West,238,FUR-FU-10002878,"Seth Thomas 14"" Day/Date Wall Clock",null,2,Party,null,1,Bright,3,Medium,Regular,CAT001,Furniture,null,Redash,9,22.784,5.622735079,1,0,0,2019-10-19,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1834,CH-12070,txn1828,CA-2017-109344,7,2020-06-06,257,Store_314,Store314,Curbside,South,1774,TEC-PH-10002624,Samsung Galaxy S4 Mini,null,2,Formal,null,5,Dark,2,Large,Relaxed,CAT003,Technology,null,Beautify,10,1127.976,7.988574506,1,0,0,2019-10-26,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1835,ND-18460,txn1829,US-2016-140851,10,2020-06-06,41,Store_257,Store257,Online,South,1011,OFF-PA-10000019,Xerox 1931,null,4,Formal,null,5,Dark,3,Medium,Tapered,CAT002,Office Supplies,null,Redash,10,38.88,6.537554234,1,0,0,2019-11-09,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1836,BS-11755,txn1830,CA-2015-103373,9,2020-06-06,238,Store_178,Store178,Delivery,East,1783,TEC-PH-10002885,Apple iPhone 5,null,4,Formal,null,1,Bright,3,Medium,Slim,CAT003,Technology,null,Aerodyne,8,779.796,105.7439935,0,0,1,2019-11-10,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1837,SL-20155,txn1831,CA-2018-145884,1,2020-06-06,329,Store_315,Store315,Curbside,Central,1699,TEC-PH-10000895,Polycom VVX 310 VoIP phone,null,4,Hip-Hop,null,2,Other,3,Small,Regular,CAT003,Technology,null,Redash,3,1439.92,137.752414,0,1,0,2019-12-07,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1838,SL-20155,txn1832,CA-2018-145884,9,2020-06-06,329,Store_315,Store315,Curbside,Central,341,FUR-TA-10002356,Bevis Boat-Shaped Conference Table,null,4,Formal,null,2,Bright,3,Medium,Tapered,CAT001,Furniture,null,Beautify,10,262.11,38.20041016,1,0,0,2019-11-10,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1839,GB-14530,txn1833,CA-2016-131422,5,2020-06-06,75,Store_234,Store234,Online,South,69,FUR-CH-10001270,Harbour Creations Steel Folding Chair,null,1,Party,null,2,Dark,1,Xtra Small,Regular,CAT001,Furniture,null,Beautify,7,207.0,6.685913137,0,0,1,2019-10-19,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1840,AS-10045,txn1834,CA-2018-162691,3,2020-06-06,176,Store_111,Store111,Online,Central,1616,TEC-MA-10000488,Bady BDG101FRU Card Printer,null,4,Hip-Hop,null,4,Bright,3,Small,Regular,CAT003,Technology,null,Beautify,10,1439.982,61.98801233,1,0,0,2020-04-04,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1841,AS-10045,txn1835,CA-2018-162691,7,2020-06-06,176,Store_111,Store111,Online,Central,1226,OFF-PA-10003729,Xerox 1998,null,3,Formal,null,3,Light,3,Xtra Small,Tapered,CAT002,Office Supplies,null,Renow,9,36.288,7.284596617,1,0,0,2019-11-10,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1842,RM-19375,txn1836,CA-2015-141278,10,2020-06-06,67,Store_316,Store316,Delivery,East,566,OFF-AR-10003056,Newell 341,null,1,Party,null,2,Light,1,Large,Slim,CAT002,Office Supplies,null,Bostel,9,21.4,1.47422872,1,0,0,2019-10-12,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1843,NH-18610,txn1837,CA-2018-122693,3,2020-06-06,37,Store_236,Store236,Online,South,428,OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,null,1,Party,null,3,Bright,3,Small,Relaxed,CAT002,Office Supplies,null,Bounce,8,1245.86,264.5925869,0,0,1,2019-11-16,Y,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1844,BF-10975,txn1838,CA-2015-117345,6,2020-06-06,1,Store_044,Store044,Online,South,944,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,null,1,Casual,null,1,Dark,3,Xtra Small,Tapered,CAT002,Office Supplies,null,Trust Nom,7,17.544,2.210510532,0,0,1,2019-12-03,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1845,BF-10975,txn1839,CA-2015-117345,8,2020-06-06,1,Store_044,Store044,Online,South,159,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,null,1,Formal,null,5,Dark,2,Large,Slim,CAT001,Furniture,null,Bounce,9,44.128,6.119344993,1,0,0,2019-10-12,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1846,BF-10975,txn1840,CA-2015-117345,4,2020-06-06,1,Store_044,Store044,Online,South,395,OFF-AP-10001005,Honeywell Quietcare HEPA Air Cleaner,null,1,Hip-Hop,null,3,Bright,2,Medium,Regular,CAT002,Office Supplies,null,Godsub,9,62.92,12.63045782,1,0,0,2019-10-05,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1847,BF-10975,txn1841,CA-2015-117345,9,2020-06-06,1,Store_044,Store044,Online,South,1165,OFF-PA-10002377,Xerox 1916,null,4,Casual,null,1,Light,2,Small,Relaxed,CAT002,Office Supplies,null,Beautify,10,78.304,19.52591286,1,0,0,2019-10-05,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1848,KH-16330,txn1842,CA-2017-157763,4,2020-06-06,160,Store_317,Store317,Online,South,65,FUR-CH-10000988,Hon Olson Stacker Stools,null,3,Hip-Hop,null,4,Bright,2,Large,Relaxed,CAT001,Furniture,null,Bounce,9,140.81,22.80371941,1,0,0,2019-12-07,N,Same Day,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1849,FA-14230,txn1843,CA-2016-135391,7,2020-06-06,59,Store_066,Store066,Online,Central,956,OFF-LA-10001074,Round Specialty Laser Printer Labels,null,1,Party,null,2,Bright,2,Extra Large,Tapered,CAT002,Office Supplies,null,Bounce,8,40.096,9.247793666,0,0,1,2019-12-08,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1850,FA-14230,txn1844,CA-2016-135391,10,2020-06-06,59,Store_066,Store066,Online,Central,207,FUR-FU-10001986,"Dana Fluorescent Magnifying Lamp, White, 36""",null,2,Casual,null,3,Other,2,Small,Regular,CAT001,Furniture,null,Trust Nom,10,40.784,3.890061913,1,0,0,2019-11-05,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1851,GW-14605,txn1845,US-2018-113852,10,2020-06-06,78,Store_061,Store061,Delivery,West,1541,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,null,4,Hip-Hop,null,1,Bright,1,Large,Relaxed,CAT003,Technology,null,Respont,10,90.57,10.40896099,1,0,0,2020-02-29,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1852,DA-13450,txn1846,US-2018-158512,8,2020-06-06,57,Store_226,Store226,Curbside,East,1126,OFF-PA-10001804,Xerox 195,null,2,Hip-Hop,null,5,Other,1,Large,Slim,CAT002,Office Supplies,null,Bounce,10,40.08,6.884300279,1,0,0,2019-10-04,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1853,DA-13450,txn1847,US-2018-158512,2,2020-06-06,57,Store_226,Store226,Curbside,East,317,FUR-FU-10004973,Flat Face Poster Frame,null,3,Formal,null,5,Dark,1,Xtra Small,Relaxed,CAT001,Furniture,null,Lifestyle,10,37.68,7.243017221,1,0,0,2019-10-16,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1854,FH-14275,txn1848,CA-2018-128370,9,2020-06-06,202,Store_026,Store026,Online,West,93,FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,null,3,Casual,null,5,Other,2,Large,Slim,CAT001,Furniture,null,Trust Nom,9,362.352,40.52250992,1,0,0,2019-11-16,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1855,FH-14275,txn1849,CA-2018-128370,3,2020-06-06,202,Store_026,Store026,Online,West,806,OFF-BI-10004140,Avery Non-Stick Binders,null,2,Hip-Hop,null,2,Bright,3,Small,Regular,CAT002,Office Supplies,null,Fostor,10,7.184,1.324496092,1,0,0,2019-11-16,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1856,RK-19300,txn1850,CA-2016-160472,9,2020-06-06,243,Store_318,Store318,Delivery,Central,1299,OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",null,2,Casual,null,2,Light,3,Large,Regular,CAT002,Office Supplies,null,Beautify,8,34.76,6.859010439,0,0,1,2019-12-30,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1857,RK-19300,txn1851,CA-2016-160472,2,2020-06-06,243,Store_318,Store318,Delivery,Central,1518,TEC-AC-10002253,Imation Bio 8GB USB Flash Drive Imation Corp,null,1,Hip-Hop,null,4,Bright,2,Medium,Relaxed,CAT003,Technology,null,Bounce,8,831.2,23.38888081,0,0,1,2019-12-22,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1858,RK-19300,txn1852,CA-2016-160472,4,2020-06-06,243,Store_318,Store318,Delivery,Central,1051,OFF-PA-10000528,Xerox 1981,null,4,Formal,null,1,Dark,2,Extra Large,Slim,CAT002,Office Supplies,null,Catwomen,9,26.4,5.317949747,1,0,0,2019-10-06,N,Same Day,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1859,RK-19300,txn1853,CA-2016-160472,4,2020-06-06,243,Store_318,Store318,Delivery,Central,847,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",null,1,Casual,null,2,Bright,2,Extra Large,Relaxed,CAT002,Office Supplies,null,Murphy,9,106.75,5.862926561,1,0,0,2020-01-04,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1860,RK-19300,txn1854,CA-2016-160472,6,2020-06-06,243,Store_318,Store318,Delivery,Central,1201,OFF-PA-10003129,Tops White Computer Printout Paper,null,1,Formal,null,1,Bright,2,Large,Relaxed,CAT002,Office Supplies,null,Bounce,9,97.82,15.02968926,1,0,0,2020-01-04,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1861,RK-19300,txn1855,CA-2016-160472,7,2020-06-05,243,Store_318,Store318,Delivery,Central,1387,OFF-ST-10003442,Eldon Portable Mobile Manager,null,2,Party,null,4,Bright,2,Extra Large,Slim,CAT002,Office Supplies,null,Aerodyne,8,141.4,17.46155531,0,0,1,2019-11-10,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1862,FM-14215,txn1856,CA-2015-114643,9,2020-06-05,15,Store_004,Store004,Online,West,588,OFF-AR-10003631,Staples in misc. colors,null,3,Party,null,2,Light,3,Small,Relaxed,CAT002,Office Supplies,null,Bounce,9,14.52,0.627930564,1,0,0,2019-11-23,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1863,AC-10420,txn1857,US-2018-158218,2,2020-06-05,290,Store_017,Store017,Online,Central,1301,OFF-ST-10000563,Fellowes Bankers Box Stor/Drawer Steel Plus,null,2,Party,null,5,Light,1,Xtra Small,Slim,CAT002,Office Supplies,null,Beautify,10,127.92,8.670737557,1,0,0,2019-10-21,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1864,AC-10420,txn1858,US-2018-158218,5,2020-06-05,290,Store_017,Store017,Online,Central,726,OFF-BI-10002133,"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",null,4,Formal,null,2,Light,2,Large,Relaxed,CAT002,Office Supplies,null,Bounce,7,34.24,5.239420181,0,0,1,2019-10-05,N,Standard Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1865,JB-15400,txn1859,CA-2016-121608,8,2020-06-05,111,Store_319,Store319,Online,East,421,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",null,2,Formal,null,2,Bright,1,Large,Regular,CAT002,Office Supplies,null,Bounce,6,137.62,10.18977691,0,1,0,2019-12-03,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1866,JB-15400,txn1860,CA-2016-121608,10,2020-06-05,111,Store_319,Store319,Online,East,1851,TEC-PH-10004959,Classic Ivory Antique Telephone ZL1810,null,1,Hip-Hop,null,5,Dark,1,Large,Slim,CAT003,Technology,null,Bounce,8,100.49,19.52662775,0,0,1,2020-04-04,N,Second Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1867,GM-14440,txn1861,US-2018-121251,5,2020-06-05,72,Store_030,Store030,Delivery,East,15,FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",null,2,Hip-Hop,null,4,Bright,1,Small,Relaxed,CAT001,Furniture,null,Bounce,9,257.568,63.30957648,1,0,0,2019-10-05,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1868,GM-14440,txn1862,US-2018-121251,4,2020-06-05,72,Store_030,Store030,Delivery,East,1845,TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),null,2,Party,null,5,Light,2,Small,Relaxed,CAT003,Technology,null,Bounce,6,119.96,1.81408446,0,1,0,2020-02-22,N,Same Day,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1869,RF-19840,txn1863,CA-2015-151078,6,2020-06-05,59,Store_066,Store066,Delivery,Central,1333,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",null,4,Hip-Hop,null,1,Bright,1,Small,Regular,CAT002,Office Supplies,null,Bounce,8,49.632,12.06906168,0,0,1,2019-10-26,N,First Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1870,NC-18625,txn1864,US-2017-100839,2,2020-06-05,363,Store_043,Store043,Online,West,370,FUR-TA-10004575,Hon 5100 Series Wood Tables,null,4,Party,null,4,Dark,3,Large,Tapered,CAT001,Furniture,null,Respont,8,727.45,102.6965438,0,0,1,2019-11-02,N,First Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1871,NC-18625,txn1865,US-2017-100839,10,2020-06-05,363,Store_043,Store043,Online,West,191,FUR-FU-10001617,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",null,4,Party,null,5,Light,3,Medium,Regular,CAT001,Furniture,null,Aerodyne,10,24.96,4.038834653,1,0,0,2020-06-05,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1872,NG-18355,txn1866,US-2018-116659,10,2020-06-05,89,Store_056,Store056,Online,East,1780,TEC-PH-10002824,Jabra SPEAK 410 Multidevice Speakerphone,null,4,Hip-Hop,null,1,Dark,2,Small,Relaxed,CAT003,Technology,null,Bounce,9,370.782,21.25078134,1,0,0,2020-03-14,N,First Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1873,AH-10075,txn1867,CA-2018-118857,3,2020-06-04,321,Store_320,Store320,Online,West,299,FUR-FU-10004460,"Howard Miller 12"" Round Wall Clock",null,3,Hip-Hop,null,3,Dark,3,Xtra Small,Tapered,CAT001,Furniture,null,Beautify,8,196.45,39.08878008,0,0,1,2020-06-04,N,Second Class,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1874,CH-12070,txn1868,CA-2016-127110,9,2020-06-04,144,Store_106,Store106,Curbside,East,1210,OFF-PA-10003309,Xerox 211,null,2,Casual,null,5,Bright,3,Extra Large,Slim,CAT002,Office Supplies,null,Lifestyle,8,31.104,6.661469567,0,0,1,2019-11-08,N,Second Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1875,CH-12070,txn1869,CA-2016-127110,4,2020-06-04,144,Store_106,Store106,Curbside,East,1369,OFF-ST-10002554,Tennsco Industrial Shelving,null,3,Formal,null,4,Light,1,Large,Relaxed,CAT002,Office Supplies,null,Canany,10,78.256,8.395178852,1,0,0,2019-10-05,N,Same Day,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1876,CC-12145,txn1870,CA-2017-148201,2,2020-06-04,162,Store_006,Store006,Delivery,West,1011,OFF-PA-10000019,Xerox 1931,null,4,Formal,null,5,Dark,3,Medium,Tapered,CAT002,Office Supplies,null,Redash,9,6.48,0.205362068,1,0,0,2019-11-09,N,Second Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1877,ME-18010,txn1871,CA-2015-116932,4,2020-06-04,19,Store_035,Store035,Online,West,542,OFF-AR-10002067,Newell 334,null,1,Formal,null,1,Light,2,Extra Large,Tapered,CAT002,Office Supplies,null,Respont,10,99.2,23.68068839,1,0,0,2019-10-07,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1878,ME-18010,txn1872,CA-2015-116932,8,2020-06-04,19,Store_035,Store035,Online,West,68,FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,null,2,Formal,null,1,Other,3,Xtra Small,Slim,CAT001,Furniture,null,Respont,10,801.568,89.78601899,1,0,0,2019-11-30,N,Standard Class,Digital Mode,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1879,ME-18010,txn1873,CA-2015-116932,3,2020-06-04,19,Store_035,Store035,Online,West,365,FUR-TA-10004175,"Hon 30"" x 60"" Table with Locking Drawer",null,2,Party,null,1,Other,3,Medium,Relaxed,CAT001,Furniture,null,Bounce,8,272.848,6.038114185,0,0,1,2020-03-07,N,Standard Class,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1880,BP-11230,txn1874,CA-2018-142888,8,2020-06-03,212,Store_321,Store321,Delivery,West,373,FUR-TA-10004767,Safco Drafting Table,null,2,Hip-Hop,null,3,Bright,2,Medium,Relaxed,CAT001,Furniture,null,Aerodyne,9,70.98,0.686353476,1,0,0,2019-11-09,N,Same Day,Debit card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1881,MP-17470,txn1875,CA-2015-147914,7,2020-06-02,182,Store_048,Store048,Curbside,East,1115,OFF-PA-10001685,Easy-staple paper,null,1,Casual,null,1,Light,2,Extra Large,Regular,CAT002,Office Supplies,null,Bounce,10,16.224,2.91756512,1,0,0,2020-04-04,N,Standard Class,Credit Card,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
1882,CJ-12010,txn1876,US-2017-112977,5,2020-06-02,371,Store_255,Store255,Delivery,East,29,FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,null,3,Casual,null,1,Dark,2,Medium,Slim,CAT001,Furniture,null,Bounce,9,176.784,40.84748377,1,0,0,2019-10-19,N,Same Day,Cash,2022-03-16,2022-03-16,Manual_Trigger,Manual_Trigger,1234,15678-abcd
